a_la_carte	table_d'hote
dysgenics	eugenics
dysphemism	euphemism
dysphoria	euphoria
dystopia	utopia
e-mail	snail_mail
eager	uneager
earliness	lateness
earned_run	unearned_run
ease	difficulty
east	west
easterly	westerly
easy_money	tight_money
eating_apple	cooking_apple
ebb	tide
ebbtide	flood_tide
eccentric	concentric
eccentricity	concentricity
edible	inedible
effectiveness	ineffectiveness
effector	receptor
efferent	afferent
efficacy	inefficacy
efficiency	inefficiency
efflux	influx
effortfulness	effortlessness
effortlessness	effortfulness
egalitarian	elitist
egoism	altruism
egress	ingress
elastic	inelastic
elasticity	inelasticity
elation	depression
elective	appointive
electrolytic_cell	voltaic_cell
electronic_mail	snail_mail
elegance	inelegance
eligibility	ineligibility
elitist	egalitarian
email	snail_mail
embarkation	disembarkation
embarrassment	disembarrassment
emersion	immersion
emotional_person	unemotional_person
emotionality	unemotionality
employable	unemployable
employee	employer
employer	employee
employment	unemployment
emptiness	fullness
empty	full	fill
encouragement	discouragement
end	beginning	middle	begin
endemic	ecdemic	cosmopolitan	epidemic
ending	beginning
endocrine	exocrine
endogamy	exogamy
endotoxin	exotoxin
enfranchisement	disenfranchisement
engagement	non-engagement
enlightened	unenlightened
enlightenment	unenlightenment
environmentalism	hereditarianism
epidemic	endemic	ecdemic
equal	differ	unequal
equality	inequality
equatorial	polar
equilibrium	disequilibrium
equity	inequity
equivalence	nonequivalence
equivocalness	unequivocalness
eremite	cenobite
errancy	inerrancy
essential	inessential
essentiality	inessentiality
esteem	disesteem
estrus	anestrus
eudemon	cacodemon
eugenics	dysgenics
eukaryote	prokaryote
euphemism	dysphemism
euphoria	dysphoria
even	uneven	odd
even-toed_ungulate	odd-toed_ungulate
evenness	unevenness
evergreen	deciduous
evergreen_plant	deciduous_plant
evil	good
evilness	goodness
evolution	devolution
exactness	inexactness
exchangeability	unexchangeability
exclusion	inclusion
exclusive	inclusive
existence	nonexistence
exit	enter
exocrine	endocrine
exogamy	endogamy
exon	intron
exotoxin	endotoxin
expansion	contraction
expatriate	repatriate
expectedness	unexpectedness
expedience	inexpedience
expediency	inexpediency
expedient	inexpedient
expensiveness	inexpensiveness
experience	inexperience
expert_witness	lay_witness
explicitness	inexplicitness
explosive	nonexplosive
export	import
express	local
extension	flexion
extensor	flexor
exterior	interior
external	internal
extraordinariness	ordinariness
extraversion	introversion	ambiversion
extrovert	introvert
factuality	counterfactuality
failing	passing
failure	success
faintheartedness	stoutheartedness
fair	unfair	foul
fair_ball	foul_ball
