a_la_carte table_d'hote 
anticatalyst catalyst 
anticholinergic cholinergic 
anticyclone cyclone 
antinode node 
antipyretic pyretic 
antiseptic septic 
antitype type 
antonym synonym 
apex antapex 
aphelion perihelion 
aphrodisia anaphrodisia 
aphrodisiac anaphrodisiac 
apoapsis periapsis 
apogee perigee 
apojove perijove 
apolune perilune 
apophatism doctrine_of_analogy cataphatism 
aposelene periselene 
appearance disappearance 
appetizingness unappetizingness 
applicability inapplicability 
appositeness inappositeness 
appreciation depreciation 
approachability unapproachability 
approbation disapprobation 
appropriateness inappropriateness 
approval disapproval 
aptitude inaptitude 
aptness inaptness 
aquatic terrestrial amphibious 
arabic_numeral Roman_numeral 
arianism Athanasianism 
arm disarm 
armament disarmament 
arming disarming 
artfulness artlessness 
artifact natural_object 
artificial_language natural_language 
artlessness artfulness 
ascending descending 
ascending_node descending_node 
ascent descent 
assembly disassembly 
assent dissent 
asset liability 
associate dissociate 
association disassociation 
assortative_mating disassortative_mating 
astigmatism stigmatism 
astringent nonastringent 
asymmetry symmetry 
asynchronism synchronism 
asynchronous_operation synchronous_operation 
athanasianism Arianism 
atheism theism 
atomism holism 
atonality tonality 
atonicity tonicity 
attack defend 
attendance nonattendance 
attention inattention 
attentiveness inattentiveness 
attraction repulsion 
attractiveness unattractiveness 
atypicality typicality 
audibility inaudibility 
audible inaudible 
augmentation diminution 
aunt uncle 
auspiciousness inauspiciousness 
autogamy allogamy 
automatic manual 
autumnal_equinox vernal_equinox 
availability unavailability 
away_game home_game 
awkwardness gracefulness 
back veer ahead front advance 
back_burner front_burner 
background foreground 
backhand forehand 
bad good 
bad_egg good_egg 
bad_guy good_guy 
bad_luck good_luck 
bad_person good_person 
bad_weather good_weather 
badness goodness 
balance imbalance unbalance 
bar unbar 
basic incidental 
bear bull 
bearing nonbearing 
beauty ugliness 
becomingness unbecomingness 
begin end 
beginning middle end ending 
being nonbeing 
belief unbelief 
belt unbelt 
bend straighten unbend 
beneficence maleficence 
benevolence malevolence 
benignancy malignancy 
benignity malignity 
best worst 
better worse worsen 
biennial annual perennial 
bigness littleness 
bind unbind 
biodegradable_pollution nonbiodegradable_pollution 
biped quadruped 
birth death 
bisexual homosexual heterosexual 
bivalve univalve 
black white 
blame absolve 
blind sighted 
block unblock 
blond brunet 
blunt_file taper_file 
blur focus 
boarding_school day_school 
boil freeze 
bold timid 
boldness timidity 
bolt unbolt 
boo applaud 
bore interest 
born unborn 
borrower lender 
bottom side top 
bounce clear 
bound free unbound 
box unbox 
boy girl 
boycott patronize patronise 
brachycephalic dolichocephalic 
braid unbraid 
brand-name_drug generic_drug 
brave cowardly timid 
break repair make keep 
breakable unbreakable 
breakableness unbreakableness 
breathing breathless 
bridle unbridle 
brightness dullness 
broad-mindedness narrow-mindedness 
brother sister 
brunet blond 
buckle unbuckle 
bull bear 
burden unburden 
button unbutton 
buy sell 
cacodemon eudemon 
call_option put_option 
calm stormy agitate 
calmness agitation 
capability incapability 
capableness incapableness 
capacity incapacity 
capitalism socialism 
captor liberator 
cardinal ordinal 
carefulness carelessness 
carelessness carefulness 
carinate ratite 
cash credit 
cash_account margin_account 
cash_basis accrual_basis 
catabolism anabolism 
catalectic acatalectic hypercatalectic 
catalyst anticatalyst 
cataphatism doctrine_of_analogy apophatism 
catarrhine platyrrhine leptorrhine 
categorem syncategorem 
categoreme syncategoreme 
cathode anode 
caudate acaudate 
caution incaution 
cautious incautious 
cenobite eremite 
cenogenesis palingenesis 
center left right 
central peripheral 
centrality marginality 
centralization decentralization 
centrifugal_force centripetal_force 
centripetal_force centrifugal_force 
ceremoniousness unceremoniousness 
certainty uncertainty 
chain unchain 
change stay 
changeableness changelessness 
changelessness changeableness 
characteristic uncharacteristic 
charge pay_cash discharge 
cheer complain 
cheerfulness uncheerfulness cheerlessness 
cheerlessness cheerfulness 
child parent 
christian unchristian 
chromatic_color achromatic_color 
circumstantial_evidence direct_evidence 
cisc RISC 
citizen noncitizen 
civil_law international_law 
civilian serviceman military 
civility incivility 
claim disclaim forfeit 
clarity obscurity opacity 
clasp unclasp 
classical nonclassical 
classicism Romanticism 
classicist romanticist 
classification declassification 
classified unclassified 
clean dirty unclean 
cleanliness uncleanliness 
cleanness dirtiness 
clear opaque cloudy unclear bounce 
clearness unclearness 
clergy laity 
clergyman layman 
clip unclip 
clog unclog 
close open distant 
closed_chain open_chain 
closed_circuit open_circuit 
closed_interval open_interval 
closeness openness 
closing opening 
clutter unclutter 
cognizance incognizance 
coherence incoherence 
coil uncoil 
cold hot 
cold_war hot_war 
coldness hotness 
collateral lineal 
collective distributive 
color colorlessness discolor black-and-white 
colored uncolored 
colorlessness color 
combustible noncombustible 
come go 
comedy tragedy 
comfort discomfort 
commercial noncommercial 
common uncommon individual 
common_noun proper_noun 
commonality individuality 
commonness uncommonness 
communicativeness uncommunicativeness 
compact loose 
compatibility incompatibility 
competence incompetence 
competition cooperation 
completeness incompleteness 
complex simple 
complex_instruction_set_computer reduced_instruction_set_computer 
complex_instruction_set_computing reduced_instruction_set_computing 
complexity simplicity 
compliance noncompliance 
composure discomposure 
compound simple 
comprehensibility incomprehensibility 
comprehension incomprehension 
comprehensive noncomprehensive 
compress decompress 
compressibility incompressibility 
compression decompression 
con pro 
concave_polygon convex_polygon 
concealing revealing 
conceit humility 
concentrate deconcentrate 
concentration dilution distribution 
concentricity eccentricity 
conception misconception 
concern unconcern 
conclusiveness inconclusiveness 
concrete abstract 
concreteness abstractness 
conductor insulator 
confidence diffidence 
conformism nonconformism 
conformist nonconformist 
conformity nonconformity 
congeniality uncongeniality 
congruity incongruity 
congruousness incongruousness 
conjunctive disjunctive 
connectedness disconnectedness unconnectedness 
consanguinity affinity 
conscientiousness unconscientiousness 
consciousness unconsciousness 
consequence inconsequence 
conservative liberal 
conserve waste 
consideration inconsideration 
consistency inconsistency 
consonant vowel 
conspicuousness inconspicuousness 
constancy inconstancy 
constant inconstant 
constitutional unconstitutional 
construction misconstruction 
constructiveness destructiveness 
consumptive generative 
contamination decontamination 
content discontent 
contentment discontentment 
continent incontinent 
continuance discontinuance 
continuant_consonant stop_consonant 
continuation discontinuation 
continuity discontinuity 
contract expand 
contraction expansion 
contraindication indication 
convenience inconvenience 
conventionality unconventionality 
convergence divergence 
convergency divergency 
convergent_thinking divergent_thinking 
convertibility inconvertibility 
convertible inconvertible 
convex_polygon concave_polygon 
convict acquit 
conviction acquittal 
cooking_apple eating_apple 
cool warm heat 
cooperation competition 
cooperative uncooperative 
coordination incoordination 
cork uncork 
corporeality incorporeality 
corpuscular_theory wave_theory 
corpuscular_theory_of_light wave_theory_of_light 
correctness incorrectness 
corruptibility incorruptibility 
corruptness incorruptness 
cortex medulla 
cosmopolitan provincial endemic 
counterfactuality factuality 
counterfeit genuine 
counterrevolutionary revolutionary 
couple uncouple 
courage cowardice 
courtesy discourtesy 
cover uncover 
covert overt 
cowardice courage 
crate uncrate 
creativeness uncreativeness 
credibility incredibility 
credit cash debit 
creditor debtor 
crescendo decrescendo 
criminalisation decriminalisation 
criminalization decriminalization 
crookedness straightness 
cross uncross 
cross-fertilization self-fertilization 
cross-pollination self-pollination 
cry laugh 
cryptogamia Phanerogamae 
cultivated_plant weed 
curability incurability 
curableness incurableness 
curliness straightness 
current noncurrent 
curse bless 
curve straight_line 
custom-made ready-made 
cut uncut 
cyclone anticyclone 
dabbling_duck diving_duck 
danger safety 
dangerousness safeness 
dark light 
darkness lightness 
daughter son 
day night 
day_game night_game 
day_school boarding_school night_school 
deactivation activation 
dead alive living live 
deaf hearing 
death birth 
debit credit 
debtor creditor 
deceleration acceleration 
decency indecency 
decentralization centralization 
deciduous_plant evergreen_plant 
decision indecision 
decisiveness indecisiveness 
declarative interrogative 
declassification classification 
decline improvement 
decompression compression 
decontamination contamination 
decorousness indecorousness 
decorum indecorum 
decrease increase 
decrement increment 
decrescendo crescendo 
decriminalisation criminalisation 
decriminalization criminalization 
dedicated_file_server non-dedicated_file_server 
deductible nondeductible 
deep shallow 
deepness shallowness 
default pay_up 
defeat victory 
defeated undefeated 
defence offence 
defendant plaintiff 
defense offense prosecution 
defensive offensive 
deficit lead 
deflation disinflation inflation 
deflationary_spiral inflationary_spiral 
delay rush 
demand supply 
demerit merit 
demobilization mobilization 
demonetization monetization 
demonstrative undemonstrative 
demotion promotion 
denationalization nationalization 
dependability undependability 
dependableness undependableness 
dependent independent 
depigmentation pigmentation 
deposit withdraw 
depreciation appreciation 
depressant stimulative 
depression elation 
descendant ancestor 
descending_node ascending_node 
descent ascent 
descriptive_linguistics prescriptive_linguistics 
desirability undesirability 
despair hope 
destabilisation stabilisation 
destabilization stabilization 
destructibility indestructibility 
destructiveness constructiveness 
desynchronization synchronization 
desynchronizing synchronizing 
detribalisation tribalisation 
detribalization tribalization 
development nondevelopment 
deviate conform 
devolution evolution 
dextrorotation levorotation 
diapsid anapsid 
die be_born 
difference sameness 
difficulty ease 
diffidence confidence 
digestibility indigestibility 
digitigrade plantigrade 
digitigrade_mammal plantigrade_mammal 
dilution concentration 
diminution augmentation 
diploid polyploid haploid 
direct_current alternating_current 
direct_discourse indirect_discourse 
direct_evidence circumstantial_evidence 
directness indirectness 
dirtiness cleanness 
disadvantage advantage 
disagreeableness agreeableness 
disagreement agreement 
disappearance appearance 
disapprobation approbation 
disapproval approval 
disarmament armament 
disarming arming 
disassembly assembly 
disassociation association 
disassortative_mating assortative_mating 
discharge charge enlist 
discipline indiscipline 
discomfort comfort 
discomposure composure 
disconnect connect 
disconnectedness connectedness 
discontent content 
discontentment contentment 
discontinuance continuance 
discontinuation continuation 
discontinuity continuity 
discouragement encouragement 
discourtesy courtesy 
disembarkation embarkation 
disembarrassment embarrassment 
disenfranchisement enfranchisement 
disequilibrium equilibrium 
disesteem esteem 
disfluency fluency 
dishonesty honesty 
dishonor honor 
dishonorableness honorableness 
disincentive incentive 
disinclination inclination 
disinflation deflation inflation 
disingenuousness ingenuousness 
dislike like liking 
disloyalty loyalty 
disobedience obedience 
disorder order 
disorderliness orderliness 
dispensability indispensability 
dispensableness indispensableness 
disposable nondisposable 
disproportion proportion 
disreputability reputability 
disrepute repute 
disrespect respect 
dissatisfaction satisfaction 
dissent assent 
disservice service 
dissimilarity similarity 
dissimilitude similitude 
dissonance harmony 
dissuasion persuasion 
distinctness indistinctness 
distributary tributary 
distribution concentration 
distrust trust 
disunion union 
divergence convergence 
divergency convergency 
divergent_thinking convergent_thinking 
divide unite multiply 
diving_duck dabbling_duck 
dock undock 
doctrine_of_analogy apophatism cataphatism 
dolichocephalic brachycephalic 
domestic undomestic foreign 
domestic_flight international_flight 
dominant recessive subordinate 
double single 
dove hawk 
dovishness hawkishness 
down up 
downgrade upgrade 
downstage upstage 
downtick uptick 
downtime uptime 
downtown uptown 
draftee volunteer 
dress undress 
drinkable undrinkable 
drinker nondrinker 
driver nondriver 
drunkenness soberness 
dry sweet phlegmy wet 
dry-bulb_thermometer wet-bulb_thermometer 
dry_fly wet_fly 
dry_season rainy_season 
dryness wetness 
due undue 
dullness sharpness brightness 
dumb_bomb smart_bomb 
dying nascent 
dynamic undynamic 
dysgenics eugenics 
dysphemism euphemism 
dysphoria euphoria 
dystopia utopia 
e-mail snail_mail 
eager uneager 
earliness lateness 
earned_run unearned_run 
ease difficulty 
east west 
easterly westerly 
easy_money tight_money 
eating_apple cooking_apple 
ebb tide 
ebbtide flood_tide 
eccentric concentric 
eccentricity concentricity 
edible inedible 
effectiveness ineffectiveness 
effector receptor 
efferent afferent 
efficacy inefficacy 
efficiency inefficiency 
efflux influx 
effortfulness effortlessness 
effortlessness effortfulness 
egalitarian elitist 
egoism altruism 
egress ingress 
elastic inelastic 
elasticity inelasticity 
elation depression 
elective appointive 
electrolytic_cell voltaic_cell 
electronic_mail snail_mail 
elegance inelegance 
eligibility ineligibility 
elitist egalitarian 
email snail_mail 
embarkation disembarkation 
embarrassment disembarrassment 
emersion immersion 
emotional_person unemotional_person 
emotionality unemotionality 
employable unemployable 
employee employer 
employer employee 
employment unemployment 
emptiness fullness 
empty full fill 
encouragement discouragement 
end beginning middle begin 
endemic ecdemic cosmopolitan epidemic 
ending beginning 
endocrine exocrine 
endogamy exogamy 
endotoxin exotoxin 
enfranchisement disenfranchisement 
engagement non-engagement 
enlightened unenlightened 
enlightenment unenlightenment 
environmentalism hereditarianism 
epidemic endemic ecdemic 
equal differ unequal 
equality inequality 
equatorial polar 
equilibrium disequilibrium 
equity inequity 
equivalence nonequivalence 
equivocalness unequivocalness 
eremite cenobite 
errancy inerrancy 
essential inessential 
essentiality inessentiality 
esteem disesteem 
estrus anestrus 
eudemon cacodemon 
eugenics dysgenics 
eukaryote prokaryote 
euphemism dysphemism 
euphoria dysphoria 
even uneven odd 
even-toed_ungulate odd-toed_ungulate 
evenness unevenness 
evergreen deciduous 
evergreen_plant deciduous_plant 
evil good 
evilness goodness 
evolution devolution 
exactness inexactness 
exchangeability unexchangeability 
exclusion inclusion 
exclusive inclusive 
existence nonexistence 
exit enter 
exocrine endocrine 
exogamy endogamy 
exon intron 
exotoxin endotoxin 
expansion contraction 
expatriate repatriate 
expectedness unexpectedness 
expedience inexpedience 
expediency inexpediency 
expedient inexpedient 
expensiveness inexpensiveness 
experience inexperience 
expert_witness lay_witness 
explicitness inexplicitness 
explosive nonexplosive 
export import 
express local 
extension flexion 
extensor flexor 
exterior interior 
external internal 
extraordinariness ordinariness 
extraversion introversion ambiversion 
extrovert introvert 
factuality counterfactuality 
failing passing 
failure success 
faintheartedness stoutheartedness 
fair unfair foul 
fair_ball foul_ball 
fairness unfairness 
faithful unfaithful 
faithfulness unfaithfulness 
fall rise 
fallibility infallibility 
falsehood truth 
falsity truth 
fame infamy 
familiar strange unfamiliar 
familiarity unfamiliarity 
fancy plain 
far near 
farness nearness 
fast slow 
fast_lane slow_lane 
fast_reactor thermal_reactor 
fat thin 
fat_person thin_person 
father mother 
fatness leanness 
fatty nonfat 
fauna flora 
favorableness unfavorableness 
fear fearlessness 
fearfulness fearlessness 
fearlessness fearfulness fear 
feasibility infeasibility 
federal unitary 
feed starve 
felicity infelicity 
female androgynous male 
female_aristocrat male_aristocrat 
female_child male_child 
female_monarch male_monarch 
female_offspring male_offspring 
female_parent male_parent 
female_sibling male_sibling 
femaleness maleness 
feminine neuter masculine 
femininity masculinity 
fertility infertility 
few many 
fidelity infidelity 
figure ground 
fill empty 
find lose 
fine coarse 
finish start 
finiteness infiniteness 
fire hire 
first second last 
fit unfit 
fitness unfitness 
fixed-width_font proportional_font 
fixedness looseness 
flash-forward flashback 
flashback flash-forward 
flat contrasty sharp natural 
flexibility inflexibility 
flexion extension 
flexor extensor 
float sink 
flood_tide ebbtide 
flora fauna 
flowering flowerless 
fluency disfluency 
focus blur 
foe friend 
fold unfold 
follower leader 
following leading 
folly wisdom 
foot head 
fore aft 
foreground background 
forehand backhand 
foreignness nativeness 
forfeit claim 
formal informal 
formalism imitation 
formality informality 
former latter 
forte piano 
fortissimo pianissimo 
forward reverse backward 
foul fair 
foul_ball fair_ball 
found lost 
frail robust 
free unfree obstruct bound confine 
free_state slave_state 
freelance salaried 
freeze unfreeze boil 
fresh_water saltwater 
freshness staleness 
friend foe 
friendliness unfriendliness 
friendly hostile unfriendly 
frivolity seriousness 
front rear back 
front_burner back_burner 
fruitfulness fruitlessness 
fruitlessness fruitfulness 
full empty thin 
fullness emptiness 
function malfunction 
functional_disorder organic_disorder 
functioning malfunctioning 
fuse defuse 
future present past 
futurity pastness presentness 
gain loss fall_back reduce 
gather spread 
general specific particular local 
general_agent special_agent 
general_verdict special_verdict 
generalist specialist 
generality particularity 
generic varietal 
generic_drug brand-name_drug 
generic_wine varietal_wine 
generosity stinginess 
genuineness spuriousness 
girl boy 
give take 
glad sad 
gnostic agnostic 
go no-go come 
godliness ungodliness 
good bad evil 
good_egg bad_egg 
good_fortune misfortune 
good_guy bad_guy 
good_health ill_health 
good_humor ill_humor 
good_luck bad_luck 
good_nature ill_nature 
good_part weak_part 
good_person bad_person 
good_weather bad_weather 
goodness evilness badness 
gracefulness awkwardness 
graciousness ungraciousness 
gradual sudden steep 
gradualness abruptness 
grand_larceny petit_larceny 
granter withholder 
gratitude ingratitude 
gravitation levitation 
gravity levity 
green ripe 
greenness ripeness 
gross net 
ground figure 
ground_stroke volley 
guilt innocence 
gutlessness gutsiness 
gutsiness gutlessness 
hairiness hairlessness 
hairlessness hairiness 
half whole 
hand_mower power_mower 
haploid diploid polyploid 
happiness sadness unhappiness 
hard_drug soft_drug 
hard_water soft_water 
hardball softball 
hardness softness 
hardware software 
harmonic nonharmonic 
harmony dissonance 
harness unharness 
hate love 
have lack 
hawk dove 
hawkishness dovishness 
head foot rear tail 
healthfulness unhealthfulness 
hearing deaf 
heat cool 
heaven Hell 
heaviness lightness 
heavy light 
heedfulness heedlessness 
heedlessness heedfulness 
heir_apparent heir_presumptive 
heir_presumptive heir_apparent 
hell Heaven 
here there 
hereditarianism environmentalism 
hereness thereness 
heterocercal_fin homocercal_fin 
heterodactyl_foot zygodactyl_foot 
heterogeneity homogeneity 
heterosexual bisexual homosexual 
heterozygosity homozygosity 
heuristic algorithmic 
hide show 
high low_spirits low 
high-rise low-rise 
high_explosive low_explosive 
high_pitch low_pitch 
high_quality low_quality 
high_relief low_relief 
high_sea territorial_waters 
high_season off-season 
high_status low_status 
high_tide low_tide 
highland lowland 
highness lowness 
hire fire 
hit miss 
hitch unhitch 
hold let_go_of 
holiness unholiness 
holism atomism 
hollow solid 
hollowness solidity 
holy unholy 
home away 
home_game away_game 
homeopathy allopathy 
homocercal_fin heterocercal_fin 
homogeneity heterogeneity 
homosexual bisexual heterosexual 
homozygosity heterozygosity 
honesty dishonesty 
honor dishonor 
honorableness dishonorableness 
hook unhook 
hope despair 
hopeful hopeless 
hopefulness hopelessness 
hopelessness hopefulness 
horizontal vertical inclined 
hospitableness inhospitableness 
hospitality inhospitality 
host parasite 
hostile friendly amicable 
hot_war cold_war 
hotness coldness 
human nonhuman 
humaneness inhumaneness 
humility pride conceit 
husband wife 
hydrate dehydrate 
hypercalcemia hypocalcemia 
hypercapnia hypocapnia 
hypercatalectic acatalectic catalectic 
hyperglycemia hypoglycemia 
hyperkalemia hypokalemia 
hypernatremia hyponatremia 
hyperopia myopia 
hyperparathyroidism hypoparathyroidism 
hyperpigmentation hypopigmentation 
hyperpnea hypopnea 
hypersomnia insomnia 
hypertension hypotension 
hypertensive normotensive hypotensive 
hyperthermia hypothermia 
hyperthyroidism hypothyroidism 
hypertonia hypotonia 
hypertonicity hypotonicity 
hypertonus hypotonus 
hypervolemia hypovolemia 
hypocalcemia hypercalcemia 
hypocapnia hypercapnia 
hypoglycemia hyperglycemia 
hypokalemia hyperkalemia 
hyponatremia hypernatremia 
hypoparathyroidism hyperparathyroidism 
hypopigmentation hyperpigmentation 
hypopnea hyperpnea 
hypotension hypertension 
hypotensive hypertensive normotensive 
hypothermia hyperthermia 
hypothyroidism hyperthyroidism 
hypotonia hypertonia 
hypotonicity hypertonicity 
hypotonus hypertonus 
hypovolemia hypervolemia 
idle work busy run 
ill well 
ill-being well-being 
ill_health good_health 
ill_humor good_humor 
ill_nature good_nature 
illegality legality 
illegibility legibility 
illegitimacy legitimacy 
illegitimate legitimate 
illiberality liberality 
illicitness licitness 
illiteracy literacy 
illiterate literate 
illness wellness 
illogicality logicality 
illogicalness logicalness 
imbalance balance 
imitation formalism 
immateriality materiality 
immaturity maturity 
immediacy mediacy 
immersion emersion 
immobility mobility 
immoderation moderation 
immodesty modesty 
immorality morality 
immortal mortal 
immortality mortality 
immotility motility 
immovability movability 
immovableness movableness 
immunocompetence immunodeficiency 
immunodeficiency immunocompetence 
immutability mutability 
immutableness mutableness 
impalpability palpability 
impartiality partiality 
impatience patience 
impenetrability penetrability 
imperative beseeching 
imperceptibility perceptibility 
imperfect perfect 
imperfectibility perfectibility 
imperfection perfection 
impermanence permanence 
impermeability permeability 
impermissibility permissibility 
imperviousness perviousness 
impiety piety 
implausibility plausibility 
impoliteness politeness 
imponderable ponderable 
import export 
importance unimportance 
impossibility possibility 
impossible possible 
impotence potence 
impotency potency 
impracticability practicability 
impracticableness practicableness 
impracticality practicality 
impreciseness preciseness 
imprecision precision 
improbability probability 
improperness properness 
impropriety propriety 
improvement decline 
improvidence providence 
imprudence prudence 
impurity purity 
in-basket out-basket 
inability ability 
inaccessibility accessibility 
inaccuracy accuracy 
inaction action 
inactivation activation 
inactiveness activeness 
inactivity activity 
inadequacy adequacy 
inadmissibility admissibility 
inadvisability advisability 
inanimateness animateness 
inapplicability applicability 
inappositeness appositeness 
inappropriateness appropriateness 
inaptitude aptitude 
inaptness aptness 
inattention attention 
inattentiveness attentiveness 
inaudibility audibility 
inaugural exaugural 
inauspiciousness auspiciousness 
incapability capability 
incapableness capableness 
incapacity capacity 
incaution caution 
incentive disincentive 
incidental basic 
incivility civility 
inclination disinclination 
inclusion exclusion 
incognizance cognizance 
incoherence coherence 
income outgo 
incoming outgoing 
incompatibility compatibility 
incompetence competence 
incompetent competent 
incompleteness completeness 
incomprehensibility comprehensibility 
incomprehension comprehension 
incompressibility compressibility 
inconclusiveness conclusiveness 
incongruity congruity 
incongruousness congruousness 
inconsequence consequence 
inconsideration consideration 
inconsistency consistency 
inconspicuousness conspicuousness 
inconstancy constancy 
inconvenience convenience 
inconvertibility convertibility 
incoordination coordination 
incorporeality corporeality 
incorrectness correctness 
incorruptibility corruptibility 
incorruptness corruptness 
increase decrease 
incredibility credibility 
increment decrement 
incurability curability 
incurable curable 
incurableness curableness 
indecency decency 
indecision decision 
indecisiveness decisiveness 
indecorousness decorousness 
indecorum decorum 
independent dependent 
indestructibility destructibility 
indication contraindication 
indigestibility digestibility 
indirect_discourse direct_discourse 
indirectness directness 
indiscipline discipline 
indispensability dispensability 
indispensableness dispensableness 
indistinctness distinctness 
individual common 
individuality commonality 
ineffectiveness effectiveness 
inefficacy efficacy 
inefficiency efficiency 
inelasticity elasticity 
inelegance elegance 
ineligibility eligibility 
inequality equality 
inequity equity 
inerrancy errancy 
inessential essential 
inessentiality essentiality 
inevitable evitable 
inexactness exactness 
inexpedience expedience 
inexpediency expediency 
inexpensiveness expensiveness 
inexperience experience 
inexplicitness explicitness 
infallibility fallibility 
infamy fame 
infeasibility feasibility 
infelicity felicity 
inferior superior 
inferiority superiority 
infernal supernal 
infertility fertility 
infidelity fidelity 
infield outfield 
infinite finite 
infiniteness finiteness 
inflation deflation disinflation 
inflationary_spiral deflationary_spiral 
inflexibility flexibility 
inflow outflow 
influx efflux 
informality formality 
ingenuousness disingenuousness 
ingratitude gratitude 
ingress egress 
inhibitor activator 
inhospitableness hospitableness 
inhospitality hospitality 
inhumaneness humaneness 
initiate uninitiate 
injudiciousness judiciousness 
injustice justice 
innocence guilt 
innocent guilty 
inopportuneness opportuneness 
inpatient outpatient 
inquiring uninquiring 
insalubriousness salubriousness 
insalubrity salubrity 
insanity sanity 
insecureness secureness 
insecurity security 
insensibility sensibility 
insensitiveness sensitiveness 
insensitivity sensitivity 
insentience sentience 
inside outside 
insignificance significance 
insincerity sincerity 
insolubility solubility 
insolvency solvency 
insolvent solvent 
insomnia hypersomnia 
instability stability 
insubordination subordination 
insubstantiality substantiality 
insufficiency sufficiency 
insulator conductor 
insurability uninsurability 
insured uninsured 
intangibility tangibility 
intangible tangible 
integration segregation 
intellectual nonintellectual 
intelligence stupidity 
intelligibility unintelligibility 
intemperance temperance 
intensive extensive 
interest bore 
interestingness uninterestingness 
interference noninterference 
interior exterior 
intermediate terminal 
international national 
international_flight domestic_flight 
international_law civil_law 
international_waters territorial_waters 
internationalism nationalism 
interrogative declarative 
interrogatory declaratory 
interstate intrastate 
intervention nonintervention 
intolerance tolerance 
intractability tractability 
intransitive transitive 
intransitivity transitivity 
intron exon 
introversion ambiversion extraversion 
introvert extrovert 
inutility utility 
invalid valid 
invariability variability 
invariable variable 
invariableness variableness 
inverse direct 
invertebrate vertebrate 
invisibility visibility 
involvement non-involvement 
invulnerability vulnerability 
inwardness outwardness 
ionic nonionic 
irrational rational 
irregular regular 
irregularity regularity 
irrelevance relevance 
irresoluteness resoluteness 
irresponsibility responsibility 
irresponsibleness responsibleness 
irreverence reverence 
irreversibility reversibility 
irreversible_process reversible_process 
isometric isotonic 
isotropy anisotropy 
issue recall 
join disjoin 
joint separate 
joy sorrow 
judgment_in_personam judgment_in_rem 
judgment_in_rem judgment_in_personam 
judiciousness injudiciousness 
junior senior 
justice injustice 
juvenile adult 
katamorphism anamorphism 
keep break lose 
kern kern 
kinanesthesia kinesthesia 
kind unkind 
kindness unkindness 
kinesthesia kinanesthesia 
king queen 
knot unknot 
know ignore 
lady Lord 
laity clergy 
larboard starboard 
large small 
largeness smallness 
lash unlash 
last first 
lateness earliness 
latter former 
laugh cry 
lawfulness unlawfulness 
laxative costive 
lay_witness expert_witness 
layman clergyman 
lead deficit 
leaded_gasoline unleaded_gasoline 
leader follower 
leading following 
lean rich 
leanness fatness 
least most 
leave arrive 
leeward windward 
left center right 
legality illegality 
legibility illegibility 
legitimacy illegitimacy 
lender borrower 
let prevent 
level raise 
levitation gravitation 
levity gravity 
levorotation dextrorotation 
liability asset 
liar square_shooter 
liberal conservative 
liberality illiberality 
liberator captor 
libertarian necessitarian 
licitness illicitness 
lie sit stand 
light dark heavy 
lightness darkness heaviness 
like unlike dislike 
likelihood unlikelihood 
likeliness unlikeliness 
likeness unlikeness 
liking dislike 
limited unlimited 
liquid solid gaseous 
listed_security unlisted_security 
